age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,surcharge_ressentie,surcharge_non_recompensee,ratio_revenu_poste,ratio_augmentation_promotion,revenu_satisfaction
36,1,3419,Marié(e),Consulting,Assistant de Direction,9,1,2,2,1,4,4,1,14,1,3,5,4,Infra & Cloud,Occasionnel,0,0,0,1.0549302382592745,14.0,0
33,1,5376,Marié(e),Commercial,Cadre Commercial,2,5,3,4,1,1,3,0,19,2,3,1,3,Infra & Cloud,Frequent,1,0,0,0.7762863980588588,9.5,0
35,0,1951,Divorcé(e),Consulting,Consultant,1,1,3,3,4,3,3,0,12,1,3,4,2,Autre,Occasionnel,0,0,0,0.6025008167538268,12.0,0
27,1,2341,Divorcé(e),Consulting,Consultant,1,1,4,3,1,4,3,0,13,1,6,2,4,Infra & Cloud,Occasionnel,0,0,0,0.7229392168225057,13.0,0
26,0,2293,Célibataire,Consulting,Consultant,1,1,1,1,3,3,2,0,12,0,2,25,3,Infra & Cloud,Occasionnel,0,0,0,0.7081160291217452,12.0,1
27,0,8726,Célibataire,Commercial,Cadre Commercial,1,9,4,3,3,4,3,0,15,0,0,8,3,Infra & Cloud,Frequent,1,0,0,1.2600214117302087,7.5,0
30,1,4011,Célibataire,Consulting,Consultant,1,12,3,3,4,4,3,0,23,0,2,1,2,Transformation Digitale,Frequent,3,0,0,1.2386626222447974,5.75,0
41,1,19545,Marié(e),Consulting,Directeur Technique,1,22,2,3,3,4,3,0,12,0,0,12,3,Entrepreunariat,Occasionnel,15,0,0,1.2189303722274714,0.75,0
34,0,4568,Célibataire,Commercial,Cadre Commercial,0,9,2,3,3,3,3,0,20,0,2,23,4,Marketing,Aucun,8,0,0,0.65961240073156,2.2222222222222223,0
37,0,3022,Marié(e),Consulting,Assistant de Direction,4,1,2,3,2,1,3,0,21,0,1,19,2,Infra & Cloud,Occasionnel,0,0,0,0.9324361450773698,21.0,0
46,0,5772,Célibataire,Commercial,Cadre Commercial,4,9,1,3,4,3,3,1,21,0,4,5,4,Marketing,Frequent,0,0,0,0.8334682086301587,21.0,0
35,0,2269,Marié(e),Consulting,Consultant,1,1,4,4,4,4,3,0,19,0,2,8,1,Infra & Cloud,Occasionnel,0,0,0,0.7007044352713651,19.0,0
48,0,5381,Célibataire,Consulting,Consultant,9,1,1,2,3,4,3,1,13,0,2,1,2,Infra & Cloud,Occasionnel,0,0,0,1.6617411045373358,13.0,0
28,0,3441,Célibataire,Consulting,Consultant,1,2,3,3,3,3,2,1,13,0,3,5,4,Entrepreunariat,Occasionnel,2,1,0,1.0626372682982665,4.333333333333333,0
44,1,5454,Divorcé(e),Commercial,Cadre Commercial,5,4,2,3,1,3,2,1,21,1,2,1,5,Marketing,Occasionnel,1,1,0,0.7875494819592663,10.5,0
35,0,9884,Marié(e),Consulting,Manager,2,4,3,2,1,3,3,1,13,1,3,11,2,Transformation Digitale,Aucun,2,0,0,1.3126574540322933,4.333333333333333,0
26,1,4157,Marié(e),Commercial,Cadre Commercial,7,2,3,2,4,3,2,1,19,1,2,23,3,Marketing,Occasionnel,0,1,0,0.6002646124871049,19.0,0
33,1,13458,Célibataire,Consulting,Directeur Technique,1,15,1,3,4,3,3,1,12,0,1,1,2,Infra & Cloud,Frequent,8,0,0,0.8393126093342189,1.3333333333333333,0
35,0,9069,Marié(e),Commercial,Cadre Commercial,1,9,2,3,1,4,2,0,22,1,3,18,5,Infra & Cloud,Frequent,1,0,0,1.309550101189693,11.0,0
35,1,4014,Marié(e),Consulting,Consultant,3,2,3,3,1,3,3,1,15,1,3,23,4,Transformation Digitale,Occasionnel,2,0,0,1.2395890714760949,5.0,0
31,0,5915,Divorcé(e),Consulting,Consultant,3,7,4,3,4,4,2,0,22,1,3,7,4,Infra & Cloud,Occasionnel,1,0,0,1.8266490677082963,11.0,0
37,0,5993,Divorcé(e),Consulting,Tech Lead,1,7,1,2,3,3,4,0,18,1,2,1,4,Infra & Cloud,Occasionnel,0,0,0,0.8213934627672647,18.0,0
32,0,6162,Marié(e),Consulting,Tech Lead,1,9,1,3,4,2,3,1,22,1,3,1,3,Transformation Digitale,Occasionnel,7,0,0,0.8445564020643893,2.75,0
38,1,2406,Célibataire,Consulting,Consultant,1,10,4,3,4,4,3,0,11,0,2,29,5,Infra & Cloud,Frequent,9,0,0,0.7430122835006189,1.1,0
50,1,18740,Divorcé(e),Consulting,Directeur Technique,5,27,2,2,3,4,2,1,12,1,2,7,2,Transformation Digitale,Occasionnel,13,1,0,1.1687262816854855,0.8571428571428571,0
59,1,7637,Célibataire,Commercial,Cadre Commercial,7,21,1,3,1,4,2,0,11,0,3,25,3,Infra & Cloud,Occasionnel,7,0,0,1.102771432659134,1.375,0
36,1,10096,Divorcé(e),Consulting,Manager,1,17,3,3,3,2,3,0,13,3,2,8,3,Entrepreunariat,Occasionnel,12,0,0,1.3408123893069641,1.0,0
55,1,14756,Divorcé(e),Consulting,Senior Manager,2,5,4,3,3,3,3,1,14,3,2,8,3,Transformation Digitale,Occasionnel,0,0,0,0.8587719163110589,14.0,0
36,0,6499,Célibataire,Consulting,Tech Lead,1,6,2,2,2,3,3,0,13,0,3,11,3,Infra & Cloud,Frequent,0,0,0,0.8907452218462295,13.0,0
45,0,9724,Divorcé(e),Consulting,Assistant de Direction,2,1,2,3,1,3,3,0,17,1,2,7,3,Infra & Cloud,Occasionnel,0,0,0,3.000333909573906,17.0,0
35,0,2194,Marié(e),Consulting,Assistant de Direction,4,3,2,3,1,4,2,0,13,1,2,1,3,Transformation Digitale,Frequent,1,0,0,0.6769572807080574,6.5,1
36,0,3388,Marié(e),Consulting,Assistant de Direction,0,1,4,2,3,1,2,1,17,1,0,9,3,Transformation Digitale,Occasionnel,0,1,0,1.0453652083130804,17.0,0
59,1,5473,Célibataire,Commercial,Cadre Commercial,7,4,1,2,3,4,2,0,11,0,2,1,1,Infra & Cloud,Frequent,1,0,0,0.7902930536785964,5.5,0
29,0,2703,Marié(e),Consulting,Assistant de Direction,0,5,3,3,2,4,3,0,23,1,3,2,3,Infra & Cloud,Occasionnel,0,0,0,0.8340089014375018,23.0,0
31,0,2501,Célibataire,Consulting,Assistant de Direction,1,1,3,3,2,2,3,0,17,0,4,1,4,Transformation Digitale,Occasionnel,1,0,0,0.7716819321106889,8.5,1
32,0,6220,Marié(e),Consulting,Assistant de Direction,1,10,2,3,2,2,3,0,17,2,3,1,3,Infra & Cloud,Occasionnel,0,0,0,1.9191769763008737,17.0,0
36,1,3038,Marié(e),Consulting,Consultant,3,1,2,4,4,2,3,0,12,0,3,6,3,Infra & Cloud,Occasionnel,0,0,0,0.9381842548939652,12.0,0
31,1,4424,Célibataire,Consulting,Tech Lead,1,11,3,3,4,4,3,0,23,0,2,8,4,Infra & Cloud,Occasionnel,1,0,0,0.6063481860975103,11.5,0
35,0,4312,Célibataire,Commercial,Cadre Commercial,0,15,3,2,1,2,3,0,14,0,2,1,4,Marketing,Occasionnel,2,0,0,0.6226463817763763,4.666666666666667,0
45,0,13245,Marié(e),Consulting,Directeur Technique,4,0,4,3,1,2,4,1,14,0,3,6,4,Autre,Occasionnel,0,0,0,0.826028794072799,14.0,0
37,0,13664,Célibataire,Consulting,Directeur Technique,4,5,1,3,3,1,4,0,13,0,3,7,4,Transformation Digitale,Occasionnel,0,0,0,0.8521598672865781,13.0,0
46,0,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,4,2,3,2,4,3,1,22,1,2,5,2,Transformation Digitale,Occasionnel,0,0,0,1.1851065085265828,22.0,0
30,0,5126,Marié(e),Consulting,Consultant,1,10,4,2,4,3,2,1,12,2,1,1,1,Infra & Cloud,Occasionnel,3,1,0,1.5829929198770458,3.0,0
35,0,2859,Célibataire,Consulting,Assistant de Direction,1,6,2,2,3,1,3,0,18,0,3,1,3,Transformation Digitale,Occasionnel,0,0,0,0.8821426005215752,18.0,1
55,0,10239,Marié(e),Commercial,Cadre Commercial,3,1,1,3,4,4,3,0,14,1,4,1,2,Infra & Cloud,Occasionnel,1,0,0,1.4784963596958063,7.0,0
38,1,5329,Divorcé(e),Consulting,Assistant de Direction,7,13,2,1,4,4,3,1,12,3,3,6,3,Transformation Digitale,Aucun,1,0,0,1.64425950268607,6.0,0
34,0,4325,Marié(e),Consulting,Tech Lead,1,5,1,3,2,3,3,0,15,0,2,1,2,Transformation Digitale,Occasionnel,1,0,0,0.5927793636690172,7.5,0
56,0,7260,Célibataire,Consulting,Tech Lead,4,6,4,1,4,1,2,0,11,0,3,7,3,Infra & Cloud,Occasionnel,0,0,0,0.9950469780894947,11.0,0
23,0,2322,Divorcé(e),Commercial,Représentant Commercial,3,0,3,3,1,3,3,0,13,1,3,2,1,Entrepreunariat,Occasionnel,0,0,0,0.8838979824895318,13.0,1
51,0,2075,Marié(e),Consulting,Consultant,3,4,4,3,4,2,3,0,23,2,4,9,4,Infra & Cloud,Occasionnel,0,0,0,0.6407940516474581,23.0,0
30,0,4152,Marié(e),Consulting,Manager,1,11,3,2,4,1,3,0,19,3,3,2,3,Infra & Cloud,Occasionnel,10,0,0,0.5514117512284583,1.7272727272727273,0
46,0,9619,Célibataire,Commercial,Cadre Commercial,1,9,3,2,4,4,3,0,16,0,3,9,2,Transformation Digitale,Occasionnel,4,0,0,1.3889692825387208,3.2,0
40,0,13503,Marié(e),Consulting,Manager,1,22,3,2,2,4,2,0,22,1,3,1,4,Infra & Cloud,Frequent,11,0,0,1.7932834481786781,1.8333333333333333,0
51,0,5441,Célibataire,Commercial,Cadre Commercial,0,10,3,3,4,4,1,1,22,0,2,21,4,Marketing,Occasionnel,1,1,0,0.7856723013091984,11.0,0
30,1,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,3,2,2,2,2,1,12,3,4,4,2,Transformation Digitale,Occasionnel,2,1,0,0.7521718466310632,4.0,0
46,0,10673,Marié(e),Consulting,Manager,2,10,3,2,1,3,2,1,13,1,5,1,3,Transformation Digitale,Frequent,9,1,0,1.4174416235215161,1.3,0
32,0,5010,Célibataire,Commercial,Cadre Commercial,1,11,2,3,3,1,3,0,16,0,0,6,4,Transformation Digitale,Occasionnel,5,0,0,0.7234365428338695,2.6666666666666665,0
54,1,13549,Marié(e),Consulting,Directeur Technique,9,4,1,3,3,1,1,0,12,1,5,2,4,Entrepreunariat,Occasionnel,0,0,0,0.8449878543520086,12.0,0
24,1,4999,Marié(e),Commercial,Cadre Commercial,0,3,1,3,3,1,2,0,21,1,2,3,2,Autre,Occasionnel,0,0,0,0.7218481592068889,21.0,0
28,0,4221,Marié(e),Commercial,Cadre Commercial,1,5,2,3,3,2,4,0,15,0,3,4,3,Transformation Digitale,Aucun,0,0,0,0.6095061172259009,15.0,0
58,0,13872,Célibataire,Commercial,Cadre Commercial,0,37,4,3,3,3,2,0,13,0,1,10,4,Transformation Digitale,Occasionnel,1,0,0,2.0030961521340194,6.5,0
44,0,2042,Marié(e),Consulting,Consultant,4,3,2,3,2,3,4,0,12,1,3,23,3,Transformation Digitale,Aucun,1,0,0,0.6306031101031853,6.0,0
37,0,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,3,3,3,1,4,3,1,22,0,3,6,4,Ressources Humaines,Occasionnel,0,0,0,0.48929013984776065,22.0,0
32,0,2956,Célibataire,Consulting,Assistant de Direction,1,1,4,3,1,4,3,0,13,0,2,1,1,Infra & Cloud,Occasionnel,0,0,0,0.9120718877725695,13.0,0
20,1,2926,Célibataire,Consulting,Consultant,1,1,4,2,4,2,3,1,18,0,5,6,3,Infra & Cloud,Frequent,1,0,0,0.9035968169255241,9.0,0
34,1,4809,Célibataire,Consulting,Assistant de Direction,1,16,1,3,3,3,3,0,14,0,3,6,4,Autre,Occasionnel,2,0,0,1.4838138390724922,4.666666666666667,0
37,0,5163,Divorcé(e),Consulting,Manager,5,1,3,2,4,4,4,0,14,1,2,2,2,Infra & Cloud,Aucun,0,0,0,0.6856789189770063,14.0,0
59,1,18844,Marié(e),Ressources Humaines,Senior Manager,9,3,3,2,4,4,3,0,21,1,3,2,4,Ressources Humaines,Aucun,2,0,0,1.0966859576420165,7.0,0
50,1,18172,Marié(e),Consulting,Directeur Technique,3,8,1,3,2,1,2,1,19,0,1,1,3,Infra & Cloud,Frequent,0,1,0,1.1333027743216992,19.0,0
25,0,5744,Célibataire,Commercial,Cadre Commercial,1,6,3,2,3,4,3,1,11,0,1,5,3,Marketing,Occasionnel,0,0,1,0.8294250503069355,11.0,0
25,0,2889,Marié(e),Consulting,Assistant de Direction,1,2,4,2,4,3,3,0,11,2,2,7,1,Transformation Digitale,Occasionnel,2,0,0,0.8913990811146663,3.6666666666666665,0
22,1,2871,Célibataire,Consulting,Consultant,1,0,2,3,4,3,3,0,15,0,5,15,3,Transformation Digitale,Occasionnel,0,0,0,0.886611914351736,15.0,0
51,1,7484,Célibataire,Consulting,Manager,3,13,1,2,1,3,2,0,20,0,1,1,4,Transformation Digitale,Frequent,12,0,0,0.9939223377152654,1.5384615384615385,0
34,0,6074,Célibataire,Consulting,Consultant,1,9,1,1,3,4,3,1,24,0,3,7,3,Infra & Cloud,Frequent,0,0,0,1.8757508769670652,24.0,0
54,1,17328,Célibataire,Ressources Humaines,Senior Manager,2,5,4,4,4,3,3,1,12,0,3,26,3,Ressources Humaines,Aucun,4,0,0,1.008457560710086,2.4,0
24,0,2774,Marié(e),Consulting,Consultant,0,5,2,3,3,3,3,0,12,1,2,18,1,Infra & Cloud,Occasionnel,1,0,0,0.8566567225397825,6.0,0
34,1,4505,Divorcé(e),Consulting,Assistant de Direction,6,1,3,2,2,3,3,0,15,1,3,6,4,Infra & Cloud,Occasionnel,0,0,0,1.3900148357291697,15.0,0
37,0,7428,Célibataire,Commercial,Cadre Commercial,2,5,3,3,4,1,3,0,12,0,3,3,3,Infra & Cloud,Occasionnel,1,0,0,1.0725921437465036,6.0,0
34,1,11631,Célibataire,Consulting,Senior Manager,2,11,3,2,1,4,3,0,12,0,6,5,3,Transformation Digitale,Occasionnel,5,0,0,0.6769026944032208,2.0,0
36,1,9738,Marié(e),Commercial,Cadre Commercial,0,9,2,3,4,3,3,0,14,1,6,11,2,Entrepreunariat,Frequent,2,0,0,1.4061527054124194,4.666666666666667,0
36,1,2835,Divorcé(e),Consulting,Consultant,5,1,1,3,4,1,3,0,22,1,2,3,2,Infra & Cloud,Occasionnel,0,0,0,0.8754945235761656,22.0,1
43,0,16959,Marié(e),Commercial,Senior Manager,1,25,3,3,4,4,4,1,12,2,3,26,2,Infra & Cloud,Frequent,4,0,0,0.9869824429872085,2.4,0
30,0,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,1,1,3,3,2,0,25,3,2,23,3,Infra & Cloud,Frequent,0,0,0,0.8062394596582287,25.0,1
33,0,6146,Marié(e),Commercial,Cadre Commercial,0,7,3,3,2,1,4,0,13,1,2,22,2,Marketing,Aucun,0,0,0,0.8874732519474974,13.0,0
56,1,4963,Marié(e),Consulting,Assistant de Direction,9,5,2,3,2,1,3,1,18,3,2,14,4,Infra & Cloud,Occasionnel,4,0,0,1.5313304394503595,3.6,0
51,0,19537,Célibataire,Consulting,Directeur Technique,7,20,1,3,3,3,3,0,13,0,5,6,3,Infra & Cloud,Occasionnel,15,0,0,1.2184314495885449,0.8125,0
31,0,6172,Marié(e),Commercial,Cadre Commercial,4,7,2,1,3,2,2,1,18,0,3,6,4,Infra & Cloud,Occasionnel,7,1,0,0.8912276132476332,2.25,0
26,1,2368,Marié(e),Consulting,Assistant de Direction,1,5,3,2,2,3,2,0,19,0,3,6,3,Autre,Occasionnel,4,0,0,0.7306448681479853,3.8,1
58,1,10312,Marié(e),Consulting,Manager,1,40,4,3,4,4,2,0,12,1,3,23,4,Transformation Digitale,Occasionnel,15,0,0,1.3694985497754966,0.75,0
19,0,1675,Célibataire,Commercial,Représentant Commercial,1,0,4,3,3,4,2,1,19,0,2,22,1,Marketing,Occasionnel,0,1,0,0.6376094404263418,19.0,0
22,0,2523,Marié(e),Consulting,Consultant,0,2,3,3,4,3,3,0,14,1,2,2,1,Entrepreunariat,Occasionnel,2,0,0,0.7791438035212225,4.666666666666667,0
49,1,6567,Marié(e),Consulting,Tech Lead,1,15,3,3,1,3,2,0,14,0,2,20,4,Transformation Digitale,Occasionnel,5,0,0,0.9000652210900429,2.3333333333333335,0
43,1,4739,Célibataire,Consulting,Assistant de Direction,4,3,2,4,3,4,3,0,12,0,2,28,3,Transformation Digitale,Frequent,1,0,0,1.4622153843552799,6.0,0
50,1,9208,Célibataire,Commercial,Cadre Commercial,4,2,3,3,4,4,3,0,11,0,3,12,3,Marketing,Frequent,2,0,0,1.3296214942942655,3.6666666666666665,0
31,1,4559,Marié(e),Commercial,Cadre Commercial,3,2,2,1,3,3,3,1,11,1,2,20,3,Infra & Cloud,Occasionnel,2,0,1,0.6583128141276668,3.6666666666666665,0
41,0,8189,Divorcé(e),Commercial,Cadre Commercial,3,9,3,3,3,3,3,1,13,1,2,9,1,Infra & Cloud,Occasionnel,0,0,0,1.182479411031249,13.0,0
26,1,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,3,3,3,4,3,0,23,1,3,25,1,Infra & Cloud,Occasionnel,5,0,0,0.6944001888239807,3.8333333333333335,0
36,0,4941,Divorcé(e),Consulting,Tech Lead,6,3,2,3,2,4,3,0,20,2,0,6,2,Transformation Digitale,Occasionnel,0,0,0,0.6772075921129743,20.0,0
51,0,10650,Célibataire,Consulting,Tech Lead,2,4,1,1,4,4,3,0,15,0,2,8,4,Infra & Cloud,Frequent,0,0,0,1.459676352156077,15.0,0
39,1,5902,Marié(e),Commercial,Cadre Commercial,4,15,4,2,3,3,4,0,14,1,1,4,4,Infra & Cloud,Occasionnel,5,0,0,0.8522400151308379,2.3333333333333335,0
25,0,8639,Marié(e),Commercial,Cadre Commercial,2,2,1,2,3,4,3,0,18,0,3,28,3,Infra & Cloud,Occasionnel,2,0,0,1.247458741225908,6.0,0
30,0,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,11,3,3,4,4,1,1,19,0,2,9,3,Ressources Humaines,Occasionnel,4,1,0,1.4980822564465688,3.8,0
32,1,4200,Célibataire,Consulting,Consultant,7,5,1,3,1,1,4,0,22,0,2,9,3,Transformation Digitale,Occasionnel,0,0,0,1.2970289238165418,22.0,0
45,0,3452,Célibataire,Consulting,Assistant de Direction,5,6,3,3,4,2,2,0,13,0,2,29,3,Transformation Digitale,Occasionnel,0,0,0,1.0651123669116747,13.0,0
38,1,4317,Célibataire,Consulting,Assistant de Direction,3,3,4,3,3,2,3,1,20,0,2,3,5,Entrepreunariat,Occasionnel,2,0,0,1.3320075573457992,6.666666666666667,0
30,1,2632,Célibataire,Consulting,Assistant de Direction,1,5,1,3,3,3,2,0,14,0,4,18,3,Infra & Cloud,Occasionnel,0,0,0,0.8121018973671864,14.0,1
32,0,4668,Divorcé(e),Commercial,Cadre Commercial,0,8,4,1,4,4,4,0,17,3,2,9,2,Transformation Digitale,Frequent,0,0,0,0.6740522518859288,17.0,0
30,1,3204,Divorcé(e),Consulting,Assistant de Direction,5,3,4,3,1,4,3,0,14,1,3,5,3,Entrepreunariat,Occasionnel,2,0,0,0.9885921273421221,4.666666666666667,0
30,0,2720,Célibataire,Consulting,Consultant,0,5,2,2,4,4,3,0,13,0,3,2,1,Transformation Digitale,Occasionnel,1,0,0,0.839980636376427,6.5,0
41,0,17181,Divorcé(e),Consulting,Senior Manager,4,7,4,2,1,2,2,0,13,1,2,10,3,Infra & Cloud,Frequent,7,0,0,0.9999024325115413,1.625,0
41,0,2238,Marié(e),Consulting,Consultant,2,5,3,3,1,4,3,0,21,1,2,9,4,Infra & Cloud,Occasionnel,1,0,0,0.6911311265479572,10.5,0
19,1,1483,Célibataire,Consulting,Consultant,1,1,2,3,2,4,3,0,14,0,3,3,1,Transformation Digitale,Occasionnel,0,0,0,0.4579747366714122,14.0,0
40,1,5605,Divorcé(e),Consulting,Assistant de Direction,1,20,2,3,2,1,3,0,11,1,2,26,3,Transformation Digitale,Frequent,2,0,0,1.7294191241425076,3.6666666666666665,0
35,0,7295,Marié(e),Commercial,Cadre Commercial,1,10,3,3,2,1,3,0,13,2,3,1,5,Marketing,Occasionnel,0,0,0,1.0533871417111933,13.0,0
